user,id_lodging,rating,comment
user_12,2,2,Very clean and cozy
user_6,25,3,Average experience
user_8,25,3,Amazing experience
user_17,13,1,Highly recommend
user_6,25,2,Could be better
user_13,23,4,Will come back
user_3,0,4,Nice location
user_5,3,2,Loved it!
user_2,3,2,Worth the price
user_15,10,4,Decent stay
user_6,5,2,Worth the price
user_17,14,1,Staff was rude
user_10,18,3,Could be better
user_6,9,1,Best place ever
user_17,22,2,Worth the price
user_8,10,1,Very clean and cozy
user_2,6,3,Not bad
user_3,4,2,Worth the price
user_2,13,1,Loved it!
user_18,3,3,Will come back
user_5,0,1,Staff was rude
user_9,2,2,Highly recommend
user_11,24,1,Too noisy
user_6,14,1,Loved it!
user_15,10,2,Fantastic service
user_10,3,1,Worst experience
user_7,6,4,Decent stay
user_3,10,4,Decent stay
user_1,8,3,Disappointing
user_19,7,5,Not bad
user_12,13,1,Could be better
user_15,24,4,Worth the price
user_11,23,3,Not bad
user_14,19,3,Staff was rude
user_1,15,4,Highly recommend
user_4,12,3,Amazing experience
user_6,23,1,Worst experience
user_17,22,1,Nice location
user_8,24,2,Could be better
user_11,10,5,Nice location
user_13,2,5,Overpriced
user_6,11,2,Worth the price
user_6,6,4,Worth the price
user_19,4,4,Average experience
user_16,3,3,Best place ever
user_6,21,3,Highly recommend
user_7,0,1,Will come back
user_7,5,3,Would not recommend
user_14,24,5,Average experience
user_6,7,5,Worst experience
